Zip_CoDE,less_than_grade_9_est,high_school_non_grad_est,high_school_grad_est,some_college_no_degree_est,associates_degree_est,bachelor_degree_est,grad_or_professional_degree_est,registration_rate,turnout_rate,latitude,longitude,population,num_registered_voters,num_voted,did_not_vote,average_house_value,average_income
33626,165,444,2529,3183,1661,7030,4525,65%,42%,28.067196,-82.613677,33535,33382,"14,115","19,267","347,700","106,560"
33629,305,166,2263,2425,1118,6512,5457,65%,69%,27.921808,-82.508953,24930,34542,"15,507","19,035","492,300","115,180"
33634,838,1250,4248,2717,1294,2988,1290,65%,38%,28.003866,-82.545317,22560,19609,"7,468","12,141","162,400","58,013"
33635,330,697,3495,2869,1345,2214,1407,65%,39%,28.016174,-82.611958,18517,18163,"7,113","11,050","164,700","60,267"
33637,450,539,2549,2188,1037,2216,1071,65%,38%,28.049979,-82.363446,18417,16651,"6,352","10,299","146,000","52,635"
33701,334,944,2763,2334,868,2851,2230,72%,41%,27.770612,-82.636238,19376,25175,"10,330","14,845","344,500","35,770"
33801,1607,3107,7962,4436,1538,2250,911,69%,37%,28.042681,-81.906626,32970,28474,"10,579","17,895","78,700","35,696"
33803,617,1186,6474,3947,1695,4510,2543,69%,42%,28.015437,-81.935205,29675,31091,"13,167","17,924","133,100","51,502"
33805,1152,1751,5848,2971,1364,1493,738,69%,38%,28.094722,-81.945372,27347,24203,"9,086","15,117","79,900","35,198"
33974,735,1177,3835,2190,1242,1045,481,66%,36%,26.559548,-81.613016,17770,11765,"4,207","7,558","145,800","47,831"
33976,1137,1292,3620,2152,738,865,231,66%,35%,26.586381,-81.687654,17170,10347,"3,577","6,770","133,300","48,957"
33980,288,1077,2825,2519,937,1618,764,84%,43%,26.980088,-82.05226,13407,13897,"6,029","7,868","140,800","43,559"
33982,544,871,2707,2227,779,618,436,84%,42%,26.901981,-81.791609,12593,12939,"5,469","7,470","113,200","47,067"
32666,159,299,1636,1177,495,522,383,69%,43%,29.724643,-82.002428,5679,7853,"3,374","4,479","136,100","47,067"
